Wavelength(Microns),Refractive Index,Extinction Coefficient,
3.1141,1.54210795455,0.28418125j,
3.1623,1.61605113636,0.25104375j,
3.2112,1.6204,0.2138j,
3.2609,1.60223010753,0.174788172043j,
3.3113,1.58380430108,0.13522688172j,
3.3625,1.56571938776,0.0968596938776j,
3.4146,1.55987142857,0.0939357142857j,
3.4674,1.55394489796,0.0909724489796j,
3.521,1.54792857143,0.0879642857143j,
3.5755,1.5425,0.08384375j,
3.6308,1.53824615385,0.0777288461538j,
3.6869,1.53393076923,0.0715254807692j,
3.744,1.52953846154,0.0652115384615j,
3.8019,1.52472681818,0.0617940909091j,
3.8607,1.51964863636,0.0599231818182j,
3.9204,1.51449272727,0.0580236363636j,
3.9811,1.50925045455,0.0560922727273j,
4.0427,1.50547296137,0.0565038626609j,
4.1052,1.50171759657,0.0570403433476j,
4.1687,1.49790214592,0.0575854077253j,
4.2332,1.49480323887,0.0583935222672j,
4.2987,1.49400769231,0.0599846153846j,
4.3652,1.4932,0.0616j,
4.4327,1.49238016194,0.0632396761134j,
4.5012,1.4924243346,0.0632927756654j,
4.5709,1.49321939163,0.0619676806084j,
4.6416,1.49402585551,0.0606235741445j,
4.7134,1.49484486692,0.0592585551331j,
4.7863,1.49285144928,0.0579257246377j,
4.8603,1.49017028986,0.0565851449275j,
4.9355,1.48744565217,0.055222826087j,
5.0119,1.48466587031,0.0539696245734j,
5.0894,1.48175631399,0.0537051194539j,
5.1681,1.47880170648,0.0534365187713j,
5.2481,1.47579829352,0.0531634812287j,
5.3293,1.47184466019,0.0538621359223j,
5.4117,1.46651132686,0.0559954692557j,
5.4954,1.46109385113,0.0581624595469j,
5.5804,1.45559223301,0.0603631067961j,
5.6667,1.45437737003,0.0677926605505j,
5.7544,1.45491376147,0.077447706422j,
5.8434,1.45545810398,0.0872458715596j,
5.9338,1.45612893983,0.0970154727794j,
6.0256,1.46270487106,0.0978045845272j,
6.1188,1.46938108883,0.098605730659j,
6.2135,1.47616475645,0.0994197707736j,
6.3096,1.48146757493,0.0990648501362j,
6.4072,1.48306321526,0.0958735694823j,
6.5063,1.48468337875,0.0926332425068j,
6.6069,1.4863280654,0.0893438692098j,
6.7091,1.48637010309,0.087212628866j,
6.8129,1.4853,0.085875j,
6.9183,1.48421340206,0.0845167525773j,
7.0253,1.48311030928,0.0831378865979j,
7.134,1.48205542169,0.0820554216867j,
7.2444,1.4809913253,0.0809913253012j,
7.3564,1.47991180723,0.0799118072289j,
7.4702,1.47833944954,0.0788678899083j,
7.5858,1.47436238532,0.0780724770642j,
7.7031,1.47032683486,0.0772653669725j,
7.8223,1.46622591743,0.0764451834862j,
