Wavelength(Microns),Extinction Coefficient,Refractive Index,
0.81909,0.0216926838708,1.27214554313,
0.83176,0.0216604673405,1.27221006636,
0.84463,0.0216279069521,1.27229210285,
0.8577,0.0215946331415,1.27236746478,
0.87096,0.0215609734557,1.27246047986,
0.88444,0.0215255818557,1.27253056392,
0.89812,0.0214890328289,1.27262653572,
0.91201,0.021453539801,1.27272395646,
0.92612,0.0214173374533,1.27282291728,
0.94045,0.021380503629,1.272923417,
0.95499,0.0213406165073,1.27302541432,
0.96977,0.0213025269958,1.27313716176,
0.98477,0.0212638901916,1.27325874903,
1.0,0.0212243875045,1.27336554614,
1.0155,0.0211839923981,1.27347423304,
1.0312,0.0211449092237,1.27358429527,
1.0471,0.0211041380047,1.27369576737,
1.0633,0.0210616835268,1.27380934688,
1.0798,0.0210168160234,1.27391688005,
1.0965,0.0209556777716,1.27398547619,
