WAV,K,N,
91.201,0.211917002288,1.86964400458,
92.612,0.204587551487,1.86909510297,
94.045,0.19714382151,1.86853764302,
95.499,0.18989,1.86791608696,
96.977,0.183555714286,1.86708987578,
98.477,0.177127142857,1.86625136646,
100.0,0.1706,1.8654,
101.55,0.16629875,1.86419875,
103.12,0.161942,1.862982,
104.71,0.15752975,1.86174975,
106.33,0.15303425,1.86049425,
107.98,0.1484555,1.8592155,
109.65,0.14382125,1.85792125,
111.34,0.1391315,1.8566115,
113.07,0.13433075,1.85527075,
114.82,0.1294745,1.8539145,
116.59,0.12456275,1.85254275,
118.39,0.11956775,1.85114775,
120.23,0.114822505,1.849767175,
122.09,0.112578415,1.848693025,
123.97,0.110310195,1.847607325,
125.89,0.107993715,1.846498525,
127.84,0.10564104,1.8453724,
129.82,0.10325217,1.84422895,
131.83,0.100827105,1.843068175,
133.87,0.098365845,1.841890075,
135.94,0.09586839,1.84069465,
138.04,0.09333474,1.8394819,
140.17,0.090764895,1.838251825,
142.34,0.08814679,1.83699865,
144.54,0.08549249,1.83572815,
146.78,0.08278993,1.83443455,
149.05,0.080051175,1.833123625,
151.36,0.07726416,1.8317896,
153.7,0.07444095,1.83043825,
156.07,0.071581545,1.829069575,
158.49,0.068661815,1.827672025,
160.94,0.066388424,1.82651048,
163.43,0.065192228,1.82574356,
165.96,0.063976816,1.82496432,
168.53,0.062742188,1.82417276,
171.13,0.061493148,1.82337196,
173.78,0.060220088,1.82255576,
176.47,0.058927812,1.82172724,
179.2,0.05761632,1.8208864,
181.97,0.056285612,1.82003324,
184.79,0.054930884,1.81916468,
187.64,0.053561744,1.81828688,
190.55,0.05216378,1.8173906,
193.49,0.050751404,1.81648508,
196.49,0.049310204,1.81556108,
199.53,0.047849788,1.81462476,
202.61,0.046370156,1.81367612,
205.75,0.0448617,1.812709,
208.93,0.043334028,1.81172956,
212.16,0.04240408,1.8111,
215.44,0.0417724977778,1.81064444444,
218.78,0.0411293622222,1.81018055556,
222.16,0.0404785244444,1.80971111111,
225.6,0.0398161333333,1.80923333333,
229.09,0.0391441144444,1.80874861111,
232.63,0.0384624677778,1.80825694444,
236.23,0.0377692677778,1.80775694444,
239.88,0.03706644,1.80725,
243.59,0.0363520588889,1.80673472222,
247.36,0.0356261244444,1.80621111111,
251.19,0.0348886366667,1.80567916667,
255.07,0.0341415211111,1.80514027778,
259.02,0.0333809266667,1.80459166667,
263.03,0.0326087788889,1.80403472222,
267.1,0.0318250777778,1.80346944444,
271.23,0.0310298233333,1.80289583333,
275.42,0.0302230155556,1.80231388889,
279.68,0.0294027288889,1.80172222222,
284.01,0.0285689633333,1.80112083333,
288.4,0.0277236444444,1.80051111111,
292.86,0.0268648466667,1.79989166667,
297.39,0.02599257,1.7992625,
301.99,0.025376172,1.798819405,
306.67,0.025108476,1.798629865,
311.41,0.024837348,1.798437895,
316.23,0.024561644,1.798242685,
321.12,0.024281936,1.79804464,
326.09,0.023997652,1.797843355,
331.13,0.023709364,1.797639235,
336.25,0.0234165,1.797431875,
341.45,0.02311906,1.797221275,
346.74,0.022816472,1.79700703,
352.1,0.02250988,1.79678995,
357.55,0.02219814,1.796569225,
363.08,0.021881824,1.79634526,
368.7,0.02156036,1.79611765,
374.4,0.02123432,1.7958868,
380.19,0.020903132,1.795652305,
386.07,0.020566796,1.795414165,
392.04,0.020225312,1.79517238,
398.11,0.019878108,1.794926545,
404.27,0.019525756,1.794677065,
410.52,0.019168256,1.79442394,
416.87,0.018805036,1.794166765,
423.32,0.018436096,1.79390554,
429.87,0.018061436,1.793640265,
436.52,0.017681056,1.79337094,
443.27,0.017294956,1.793097565,
450.12,0.016903136,1.79282014,
457.09,0.016504452,1.792537855,
464.16,0.016100048,1.79225152,
471.34,0.015689352,1.79196073,
478.63,0.015272364,1.791665485,
