WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
2.7123,0.0368716774194,1.66187258065,
2.7542,0.0370608125,1.661196875,
2.7968,0.037240625,1.6604975,
2.8401,0.0374337575758,1.65976515152,
2.884,0.03762,1.659,
2.9286,0.0378211764706,1.65819529412,
2.9739,0.0380210294118,1.65739588235,
3.0199,0.0382295428571,1.65660171429,
3.0667,0.0384334857143,1.65569942857,
3.1141,0.0386605,1.65483138889,
3.1623,0.0389116216216,1.65389432432,
3.2112,0.0391792432432,1.65296918919,
3.2609,0.0394545945946,1.65202891892,
3.3113,0.0397013076923,1.65099384615,
3.3625,0.0399259210526,1.64993684211,
3.4146,0.04013975,1.648868,
3.4674,0.0403414634146,1.64779121951,
3.521,0.04053875,1.6466075,
3.5755,0.0407406097561,1.64539634146,
3.6308,0.0409392857143,1.6441047619,
3.6869,0.0411296428571,1.64266904762,
3.744,0.0413311627907,1.64119069767,
3.8019,0.0415296590909,1.63960272727,
3.8607,0.0417234545455,1.63799909091,
3.9204,0.0419291304348,1.63634086957,
3.9811,0.042140326087,1.63449695652,
4.0427,0.042340106383,1.63263234043,
4.1052,0.0425329361702,1.63070425532,
4.1687,0.0427091875,1.628709375,
4.2332,0.0428563673469,1.62653795918,
4.2987,0.0430100816327,1.6242655102,
4.3652,0.0431704313725,1.62179294118,
4.4327,0.0433225686275,1.61934509804,
4.5012,0.0435020769231,1.61661884615,
4.5709,0.0436997115385,1.61370423077,
4.6416,0.0439131320755,1.61073622642,
4.7134,0.0441258909091,1.60761163636,
4.7863,0.0443610714286,1.60428607143,
4.8603,0.0446253571429,1.60081767857,
4.9355,0.0449047368421,1.59715789474,
5.0119,0.0451996140351,1.59340491228,
5.0894,0.045538779661,1.58924779661,
5.1681,0.0459121864407,1.58491305085,
5.2481,0.046330557377,1.58039409836,
5.3293,0.0467931311475,1.57556868852,
5.4117,0.0472981428571,1.5705847619,
5.4954,0.04784275,1.565374375,
5.5804,0.04843715625,1.5598621875,
5.6667,0.0490810606061,1.55415287879,
5.7544,0.0497933432836,1.54807134328,
5.8434,0.0505439104478,1.54162835821,
5.9338,0.0513415362319,1.53478202899,
