WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
2.3988,0.0429228571429,1.40407428571,
2.4359,0.0426578571429,1.40089428571,
2.4736,0.0423885714286,1.39766285714,
2.5119,0.042115,1.39438,
2.5507,0.0418466216216,1.38747837838,
2.5902,0.0415797297297,1.37787027027,
2.6303,0.0413087837838,1.36811621622,
2.671,0.0410337837838,1.35821621622,
2.7123,0.0533326923077,1.33047307692,
2.7542,0.0675679487179,1.29985384615,
2.7968,0.082041025641,1.26872307692,
2.8401,0.107174698795,1.24890421687,
2.884,0.178578313253,1.28090361446,
2.9286,0.251120481928,1.31341325301,
2.9739,0.324801204819,1.34643313253,
3.0199,0.34894375,1.39759659091,
3.0667,0.31676875,1.46939204545,
3.1141,0.28418125,1.54210795455,
3.1623,0.25104375,1.61605113636,
3.2112,0.2138,1.6204,
3.2609,0.174788172043,1.60223010753,
3.3113,0.13522688172,1.58380430108,
3.3625,0.0968596938776,1.56571938776,
3.4146,0.0939357142857,1.55987142857,
3.4674,0.0909724489796,1.55394489796,
3.521,0.0879642857143,1.54792857143,
3.5755,0.08384375,1.5425,
3.6308,0.0777288461538,1.53824615385,
3.6869,0.0715254807692,1.53393076923,
3.744,0.0652115384615,1.52953846154,
3.8019,0.0617940909091,1.52472681818,
3.8607,0.0599231818182,1.51964863636,
3.9204,0.0580236363636,1.51449272727,
3.9811,0.0560922727273,1.50925045455,
4.0427,0.0565038626609,1.50547296137,
4.1052,0.0570403433476,1.50171759657,
4.1687,0.0575854077253,1.49790214592,
4.2332,0.0583935222672,1.49480323887,
4.2987,0.0599846153846,1.49400769231,
4.3652,0.0616,1.4932,
4.4327,0.0632396761134,1.49238016194,
4.5012,0.0632927756654,1.4924243346,
4.5709,0.0619676806084,1.49321939163,
4.6416,0.0606235741445,1.49402585551,
4.7134,0.0592585551331,1.49484486692,
4.7863,0.0579257246377,1.49285144928,
4.8603,0.0565851449275,1.49017028986,
4.9355,0.055222826087,1.48744565217,
5.0119,0.0539696245734,1.48466587031,
5.0894,0.0537051194539,1.48175631399,
5.1681,0.0534365187713,1.47880170648,
5.2481,0.0531634812287,1.47579829352,
5.3293,0.0538621359223,1.47184466019,
5.4117,0.0559954692557,1.46651132686,
5.4954,0.0581624595469,1.46109385113,
5.5804,0.0603631067961,1.45559223301,
5.6667,0.0677926605505,1.45437737003,
5.7544,0.077447706422,1.45491376147,
5.8434,0.0872458715596,1.45545810398,
5.9338,0.0970154727794,1.45612893983,
6.0256,0.0978045845272,1.46270487106,
6.1188,0.098605730659,1.46938108883,
6.2135,0.0994197707736,1.47616475645,
6.3096,0.0990648501362,1.48146757493,
6.4072,0.0958735694823,1.48306321526,
6.5063,0.0926332425068,1.48468337875,
6.6069,0.0893438692098,1.4863280654,
6.7091,0.087212628866,1.48637010309,
6.8129,0.085875,1.4853,
6.9183,0.0845167525773,1.48421340206,
7.0253,0.0831378865979,1.48311030928,
7.134,0.0820554216867,1.48205542169,
7.2444,0.0809913253012,1.4809913253,
7.3564,0.0799118072289,1.47991180723,
7.4702,0.0788678899083,1.47833944954,
7.5858,0.0780724770642,1.47436238532,
7.7031,0.0772653669725,1.47032683486,
7.8223,0.0764451834862,1.46622591743,
7.9433,0.0758781385281,1.46046601732,
8.0662,0.0756121212121,1.45275151515,
8.1909,0.0753422077922,1.44492402597,
8.3176,0.075067965368,1.43697099567,
8.4463,0.0843711065574,1.43539877049,
8.577,0.0969590163934,1.43593442623,
