Number,      cntr_01,       dist_x,       pang_x,        ra_01,       dec_01,          designation,ra,dec,    sigra,   sigdec,  sigradec,  w1mpro, w1sigmpro,    w1snr,   w1rchi2,  w2mpro, w2sigmpro,    w2snr,   w2rchi2,  w3mpro, w3sigmpro,    w3snr,   w3rchi2,  w4mpro, w4sigmpro,    w4snr,   w4rchi2,   nb,   na,  w1sat,  w2sat,  w3sat,  w4sat,     pmra,  sigpmra,    pmdec, sigpmdec, cc_flags, ext_flg, var_flg, ph_qual, moon_lev,   w1nm,    w1m,   w2nm,    w2m,   w3nm,    w3m,   w4nm,    w4m
233,2.264751,-144.742883,308.89521,-60,J203534.67,-600001.8,308.8944837,-60.0005137,0.185,0.1922,-0.0532,16.309,0.063,17.1,9.09E-01,16.616,0.253,4.3,8.61E-01,12.531,null,0.7,7.92E-01,8.902,null,0.2,9.43E-01,1,0,0,0,0,0,-243,748,130,769,0,0,0nnn,ABUU,0,24,29,0,29,0,14,0,14
236,8.138948,159.483007,181.72041,-64,J120653.33,-640007.6,181.7222177,-64.0021174,0.0733,0.0786,0.0091,12.606,0.036,30,3.86E+00,12.864,0.039,27.5,2.19E+00,12.005,null,1,7.15E-01,8.564,null,1.6,1.28E+00,2,1,0,0,0,0,-70,40,-85,41,00PP,1,nnnn,AAUU,0,56,56,56,56,0,35,2,35
238,2.692133,23.55585,105.07515,-5,J070018.10,-45957.5,105.07545,-4.9993145,0.2197,0.2446,-0.03,16.281,0.08,13.6,9.67E-01,16.235,0.227,4.8,9.96E-01,12.473,null,-1.8,8.80E-01,9.012,null,-0.2,9.06E-01,1,0,0,0,0,0,937,683,737,770,0,0,0nnn,ABUU,0,18,27,1,27,0,13,0,13
241,8.374468,-100.262325,224.22695,-35,J145653.79,-350001.4,224.2241556,-35.0004144,0.3736,0.4127,0.0343,16.985,0.127,8.6,1.01E+00,16.597,null,1.4,8.77E-01,11.974,null,1.5,9.98E-01,8.648,null,-1.4,9.33E-01,1,0,0,0,0,0,276,1512,-1971,1685,0,0,nnnn,BUUU,1111,6,23,0,23,0,12,0,12
244,7.20808,42.097041,60.133271,-41,J040032.41,-405954.6,60.1350495,-40.9985143,0.5378,0.5494,-0.1671,18.182,0.188,5.8,8.65E-01,17.346,0.336,3.2,9.26E-01,13.2,null,-0.5,8.93E-01,9.579,null,-0.3,9.35E-01,1,0,0.001,0,0,0,-6064,1683,2209,1702,0,0,nnnn,BBUU,0,1,65,2,65,0,39,0,39
244,9.699005,146.457186,60.133271,-41,J040032.45,-410008,60.1352436,-41.0022455,0.433,0.4416,-0.126,17.87,0.137,7.9,8.51E-01,17.7,null,0.3,9.37E-01,13.246,null,-1,9.30E-01,9.634,null,-0.9,9.23E-01,1,0,0.001,0,0,0,-453,1295,-405,1328,0,0,nnnn,BUUU,0,4,65,0,65,0,38,0,39
248,6.802551,-135.910765,73.27165,-48,J045304.72,-480004.8,73.2696851,-48.0013572,0.0725,0.0729,-0.0168,15.116,0.258,4.2,1.55E+00,14.884,0.051,21.2,9.19E-01,12.921,null,0.5,1.02E+00,9.591,null,-2.5,1.07E+00,1,0,0.014,0.001,0,0,175,190,-134,197,0,0,00nn,BAUU,0,42,42,46,54,0,29,0,29
250,8.555038,77.613469,104.0981,-46,J065624.34,-455958.1,104.1014413,-45.9994902,0.1669,0.178,-0.0153,16.594,0.06,18.2,1.19E+00,16.597,0.185,5.9,9.85E-01,12.947,null,-0.5,9.07E-01,9.361,null,-1.4,9.10E-01,1,0,0,0,0,0,-916,580,450,623,0,0,1nnn,ABUU,0,34,55,3,55,0,25,0,25
261,8.467027,119.480235,290.74559,-54,J192259.77,-540004.1,290.7490734,-54.0011574,0.154,0.1617,-0.0461,16.112,0.055,19.6,9.63E-01,15.794,0.139,7.8,9.01E-01,12.399,null,0.6,8.69E-01,9.153,null,-0.8,9.91E-01,1,0,0,0,0,0,-244,585,-463,614,0,0,0nnn,ABUU,22,24,26,4,26,0,12,0,12
262,5.210286,163.20971,299.01821,-32,J195604.48,-320004.9,299.018703,-32.0013856,0.1086,0.1114,-0.0301,15.29,0.041,26.4,1.40E+00,15.229,0.106,10.2,9.51E-01,12.195,null,0.6,9.95E-01,8.706,null,0.8,1.07E+00,1,0,0,0,0,0.004,-126,364,336,368,0,0,0nnn,AAUU,1100,22,22,7,22,0,11,0,11
264,7.521073,45.739664,81.12571,-38,J052430.62,-375954.7,81.1276087,-37.9985419,0.3299,0.3533,-0.0814,17.277,0.114,9.5,1.04E+00,17.243,0.343,3.2,7.89E-01,12.816,null,0.5,1.01E+00,8.671,null,1.8,9.56E-01,1,0,0,0,0,0,-556,1548,-359,1660,0,0,nnnn,BBUU,0,6,40,0,40,0,20,0,20
265,8.690997,-11.063368,94.783573,-3,J061907.94,-25951.4,94.7831091,-2.9976307,0.0484,0.047,-0.0076,13.067,0.025,44,8.99E-01,13.069,0.028,39.2,8.10E-01,12.619,0.508,2.1,1.09E+00,9.06,null,0,9.54E-01,1,0,0,0,0,0,-5,83,82,89,h000,0,00nn,AACU,11,27,27,26,26,0,13,0,13
266,3.5908,62.517271,134.31229,15,J085715.16,150001.6,134.3132061,15.0004603,0.4062,0.449,-0.0399,17.109,0.136,8,9.16E-01,16.848,null,0.8,7.94E-01,12.119,null,0.5,8.93E-01,8.579,null,0.4,8.14E-01,1,0,0,0,0,0,586,1704,4003,1900,0,0,nnnn,BUUU,0,4,22,0,22,0,11,0,10
