solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
NAN,NAN,NAN,Time[Julian Years],Angle[deg],Angle[mas],Angle[deg],Angle[mas],Angle[mas],Angle[mas],Angular Velocity[mas/year],Angular Velocity[mas/year],Angular Velocity[mas/year],Angular Velocity[mas/year],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],NAN,NAN,NAN,NAN,NAN,NAN,NAN,Angle[mas],NAN,NAN,NAN,Angle[mas^-2],Angle[mas^-2],NAN,NAN,NAN,NAN,NAN,NAN,NAN,Angle[deg],Angle[deg],Angle[deg],Angle[deg],NAN,Flux[e-/s],Flux[e-/s],Magnitude[mag],Dimensionless[see description],Angle[deg],Angle[deg],Angle[deg],Angle[deg]
1.63538E+18,2.04681E+18,209778428,2015,292.6669758,0.175776601,35.10285372,0.208822122,20.26282255,0.227734975,49.51855897,0.050106949,71.84153618,0.054046898,-0.17366329,-0.29204232,0.12706731,-0.034073796,0.22531609,-0.04445565,0.13919406,-0.08498456,0.0194054,0.08758751,103,103,103,97,0,6,8.001704,0.42755036,105.068981,TRUE,1.9258729,4.9901137,8.86634E-06,3,14,FALSE,0.41076648,0.2211267,0.3530376,0.34471214,-105.39604,74.319855,0.74277216,-5.765322,99,14122949.23,8385.102421,7.649956569,NOT_AVAILABLE,68.44591258,7.942843964,304.2017494,55.88239843
1.63538E+18,2.04681E+18,834762971,2015,292.6640766,0.272816001,35.10201534,0.276346679,NAN,NAN,NAN,NAN,NAN,NAN,0.5621,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,54,0,54,0,0,0,NAN,0.412935614,1.509734146,FALSE,1.878018,1.3475937,NAN,2,8,FALSE,0.11146767,0.38306034,0.40887332,0.49753988,-74.40609,-82.91644,-15.51444,10.595156,52,2262.252963,5.963349428,17.13841715,NOT_AVAILABLE,68.44405018,7.944554668,304.1972731,55.88224018
1.63538E+18,4.59577E+18,819714996,2015,263.4949065,0.201161979,29.09651307,0.228122919,7.976580188,0.277951833,-52.03466319,0.042185807,15.03940195,0.051385527,0.20518476,-0.00885161,0.1960527,0.016217258,-0.17927797,0.025311055,0.13493241,-0.019025605,-0.05632153,0.16948198,113,113,113,108,0,5,0.7112961,0.762830255,285.8518823,TRUE,7.4607167,1.6634796,8.98127E-06,3,17,FALSE,0.54800165,0.24642283,0.18149562,0.612568,-67.159485,-59.13284,53.93613,31.951527,132,9586374.773,8176.546681,8.070634055,NOT_AVAILABLE,52.97032326,28.65902065,260.6785349,52.32550934
1.63538E+18,1.32991E+18,23650949,2015,243.9239297,0.061400231,35.64287795,0.097169122,NAN,NAN,NAN,NAN,NAN,NAN,0.47755,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,168,0,168,0,0,0,NAN,0.409265456,41.20910536,FALSE,1.3658501,4.9153733,NAN,2,23,FALSE,0.16408809,0.34857693,0.055100363,0.20162773,-71.93272,-61.50837,-53.630486,25.927608,181,28419.62244,46.46940672,14.3907243,NOT_AVAILABLE,57.2564801,46.07488043,230.7949757,55.58857429
1.63538E+18,1.32991E+18,929399619,2015,243.9258355,0.156786574,35.64100364,0.196973177,15.23284382,0.216012419,-50.91147464,0.072100371,7.876181713,0.088205991,0.06540515,-0.35747594,-0.010504388,0.037180964,0.10263298,0.01953001,0.013862123,-0.01236718,-0.054989725,0.11888449,104,104,104,100,0,4,1.0596547,0.280361636,52.64143115,TRUE,2.8954477,9.752764,6.00885E-06,3,15,TRUE,0.24128942,0.31460395,0.05577369,0.013268403,-176.1466,-80.712875,49.86883,-44.18922,123,9820979.855,4885.658995,8.044383013,NOT_AVAILABLE,57.25392762,46.07321421,230.7986079,55.5872711
1.63538E+18,1.46531E+18,774276080,2015,192.0913919,0.186055447,30.76727313,0.163838879,14.3385892,0.238523248,-74.54878522,0.072391486,23.40965469,0.071560792,-0.47163787,0.0746678,0.08569035,-0.01638688,0.1290844,-0.005580059,0.09219022,0.05717165,-0.08589764,-0.2945687,184,184,184,176,0,8,1.154044,0.516045113,77.69275191,TRUE,2.2240636,3.4952645,0.000005227,3,22,FALSE,0.16609336,0.5368329,0.3095632,0.30122897,4.2147145,34.82325,21.92095,18.165342,175,11375766.94,4102.864077,7.884818349,NOT_AVAILABLE,133.2123615,86.29946661,177.3867973,32.74734699
1.63538E+18,9.93343E+17,542502760,2015,101.9728032,0.253714134,52.2507331,0.307634335,17.85845971,0.240371473,5.648021046,0.571584596,-123.2855995,0.81788441,-0.478233,0.27408728,-0.6115739,0.3085581,-0.33041686,0.3690107,-0.6073587,-0.037934393,-0.020772599,-0.5865032,62,62,62,61,0,1,NAN,0.39496723,204.308871,TRUE,3.956505,6.048259,2.77618E-05,5,7,FALSE,0.3546157,0.44460484,0.14819516,0.8554605,-56.143745,56.28041,-15.412552,-34.27456,61,5408501.763,10058.80525,8.692077625,NOT_AVAILABLE,163.7772291,20.61664868,98.36220934,29.1584411
1.63538E+18,6.02118E+17,325206014,2015,130.4426312,0.208778066,11.97470585,0.135478224,20.50745117,0.356947798,38.14527739,1.150595132,-43.19227137,0.67645121,-0.285816,-0.55093366,-0.63585573,0.494139,0.18831855,0.2577391,-0.29081705,0.87269765,-0.61930513,-0.6756465,80,80,80,77,0,3,NAN,0.493583706,225.2261046,TRUE,4.8872433,3.7844687,2.08477E-05,5,12,FALSE,0.13212758,0.25868493,0.1975353,0.76056004,-147.13582,19.666338,-42.478626,-33.372547,104,3464456.89,8081.230321,9.17568216,NOT_AVAILABLE,214.3779668,29.85032405,129.6540998,-6.072323931
1.63538E+18,2.17789E+17,339890590,2015,55.10831104,0.261910303,33.70780446,0.152662267,3.074892772,0.2686457,119.0360967,0.875828099,-22.73900071,0.466848346,-0.25156176,0.3541242,-0.35675025,0.027636485,-0.42323136,0.23236255,-0.49593887,-0.052226882,-0.10226977,-0.65736043,80,80,80,79,0,1,NAN,0.372932315,122.7835791,TRUE,3.750264,6.641351,1.72497E-05,5,13,FALSE,0.32027888,0.6472239,0.5319477,0.47180519,-115.70967,9.867183,-37.52983,19.729658,102,7338549.657,3512.759285,8.360744471,NOT_AVAILABLE,158.7605591,-17.15680534,60.66575549,13.75356288
1.63538E+18,6.91335E+18,655728740,2015,312.0450501,0.203545493,-6.02284599,0.183210283,18.4395874,0.236186614,41.72127642,0.080945239,-13.25310968,0.055705086,0.085227266,0.27821022,0.07306955,-0.022173237,-0.2314952,-0.003459662,0.12553392,-0.049913187,-0.06904578,0.17242429,80,80,80,79,0,1,1.3173075,0.415411103,84.08723287,TRUE,4.148517,5.2034216,1.15003E-05,3,11,FALSE,0.38516563,0.18184417,0.26935026,0.9128173,-53.55379,-31.361076,-48.104618,30.725712,85,8205131.17,6400.022831,8.239556243,NOT_AVAILABLE,41.30208139,-28.64897285,312.7967966,11.39075137
