Wavelength(Microns),Refractive Index,Extinction Coefficient,
44.327,2.88560196078,0.989800784314j,
45.013,2.90025576923,0.982008269231j,
45.709,2.91497884615,0.974111346154j,
46.416,2.92932075472,0.965974339623j,
47.134,2.94328,0.957862909091j,
47.863,2.95705357143,0.949465714286j,
48.603,2.97026785714,0.941008571429j,
49.355,2.98357894737,0.932423684211j,
50.119,2.99698245614,0.923711403509j,
50.894,3.00995932203,0.914764067797j,
51.681,3.02196440678,0.905693559322j,
52.481,3.0340147541,0.89638852459j,
53.293,3.04599508197,0.887037213115j,
54.117,3.05795714286,0.87760047619j,
54.954,3.07005,0.867955j,
55.804,3.080675,0.8583590625j,
56.667,3.09195909091,0.84860030303j,
57.544,3.10304776119,0.838655820896j,
58.434,3.11334029851,0.828792537313j,
59.338,3.12331014493,0.81882173913j,
60.256,3.13295942029,0.808843478261j,
61.188,3.14234647887,0.798752394366j,
62.135,3.15168309859,0.788682394366j,
63.096,3.15996712329,0.778641643836j,
64.072,3.16928918919,0.768614594595j,
65.063,3.1779972973,0.758436756757j,
66.069,3.18599210526,0.74831j,
67.091,3.19367307692,0.738290384615j,
68.129,3.20099230769,0.728309615385j,
69.183,3.2090225,0.718271875j,
70.253,3.21668518519,0.708305925926j,
71.34,3.22335365854,0.698436585366j,
72.444,3.23002380952,0.688664761905j,
73.564,3.23667058824,0.678860941176j,
74.702,3.24266046512,0.669211162791j,
75.858,3.2479908046,0.659616551724j,
77.031,3.25432272727,0.650152159091j,
78.223,3.25968,0.64071j,
79.433,3.26501304348,0.6312775j,
80.662,3.27000645161,0.62208516129j,
81.909,3.27467659574,0.61288287234j,
83.176,3.27998333333,0.603828333333j,
84.463,3.28433195876,0.594802268041j,
85.77,3.289,0.585933333333j,
87.096,3.292988,0.577226j,
88.444,3.29800194175,0.568529126214j,
89.812,3.30198640777,0.559962330097j,
91.201,3.30500283019,0.551494056604j,
92.612,3.30898691589,0.543160373832j,
94.045,3.31298611111,0.534961574074j,
95.499,3.31599816514,0.52680559633j,
96.977,3.31966126126,0.518816216216j,
98.477,3.32299210526,0.510882192982j,
100.0,3.326,0.503j,
101.55,3.32863636364,0.495454545455j,
103.12,3.33136666667,0.487673333333j,
104.71,3.33501666667,0.480253333333j,
106.33,3.33766153846,0.472913846154j,
107.98,3.3403,0.46579j,
109.65,3.34307692308,0.458296153846j,
111.34,3.34533846154,0.45144j,
113.07,3.34733846154,0.44452j,
114.82,3.35001538462,0.437523076923j,
116.59,3.35135,0.43085j,
118.39,3.35327142857,0.424421428571j,
120.23,3.35504285714,0.417597142857j,
122.09,3.35735,0.41122j,
123.97,3.35864666667,0.405060666667j,
125.89,3.36098571429,0.398733571429j,
127.84,3.36231428571,0.392585714286j,
129.82,3.36368,0.38644j,
131.83,3.36601875,0.3804175j,
133.87,3.36731333333,0.374721333333j,
135.94,3.36865,0.368905j,
138.04,3.370025,0.362995j,
140.17,3.37133529412,0.357491764706j,
142.34,3.37265,0.352035j,
144.54,3.37402352941,0.346405882353j,
146.78,3.37534117647,0.341135294118j,
149.05,3.37667647059,0.335794117647j,
151.36,3.37797777778,0.330686666667j,
153.7,3.379,0.325533333333j,
156.07,3.37965,0.320595j,
158.49,3.38099444444,0.315521111111j,
160.94,3.38233684211,0.310687368421j,
163.43,3.383,0.305969473684j,
165.96,3.38397894737,0.301175789474j,
168.53,3.385,0.296539473684j,
171.13,3.385665,0.291939j,
173.78,3.38699,0.287434j,
176.47,3.387335,0.2829945j,
179.2,3.388,0.278666666667j,
181.97,3.38898571429,0.274445714286j,
184.79,3.38932857143,0.270148571429j,
187.64,3.39,0.266036363636j,
190.55,3.391,0.261834782609j,
193.49,3.39131363636,0.257959090909j,
196.49,3.392,0.253868181818j,
199.53,3.393,0.249962173913j,
202.61,3.3933375,0.246155j,
205.75,3.394,0.242345652174j,
208.93,3.395,0.23856625j,
212.16,3.395344,0.2349712j,
215.44,3.396,0.2314288j,
218.78,3.396992,0.2278216j,
222.16,3.39733076923,0.22434j,
225.6,3.398,0.2209j,
229.09,3.398,0.217509615385j,
232.63,3.399,0.214138888889j,
236.23,3.399,0.210805555556j,
239.88,3.39999285714,0.207617142857j,
243.59,3.4,0.204437142857j,
247.36,3.40066428571,0.201272142857j,
251.19,3.401,0.198207931034j,
255.07,3.40133448276,0.195130689655j,
259.02,3.402,0.192118666667j,
263.03,3.402,0.189178709677j,
267.1,3.402,0.186290322581j,
271.23,3.40265483871,0.18342483871j,
275.42,3.403,0.180586875j,
279.68,3.403,0.177825j,
284.01,3.403,0.175093636364j,
288.4,3.404,0.1724j,
292.86,3.404,0.169751764706j,
297.39,3.404,0.167152941176j,
301.99,3.404,0.164605428571j,
306.67,3.40433428571,0.162064857143j,
311.41,3.405,0.159595j,
316.23,3.405,0.157085405405j,
321.12,3.405,0.154706486486j,
326.09,3.40567297297,0.152355945946j,
331.13,3.406,0.149986923077j,
336.25,3.406,0.147740789474j,
341.45,3.406,0.14547375j,
346.74,3.407,0.143184390244j,
352.1,3.407,0.14108j,
357.55,3.407,0.138926829268j,
363.08,3.407,0.136807619048j,
368.7,3.407,0.134666666667j,
374.4,3.407,0.132588372093j,
380.19,3.40799772727,0.130603409091j,
386.07,3.408,0.128598863636j,
392.04,3.408,0.126608695652j,
398.11,3.408,0.124696956522j,
404.27,3.408,0.12279893617j,
410.52,3.408,0.120870638298j,
416.87,3.408,0.119108125j,
423.32,3.408,0.117237142857j,
429.87,3.40866734694,0.11543244898j,
436.52,3.409,0.113694901961j,
443.27,3.409,0.111974313725j,
450.12,3.409,0.110245j,
457.09,3.409,0.108602307692j,
464.16,3.409,0.106901509434j,
471.34,3.40966181818,0.105305818182j,
478.63,3.41,0.103693571429j,
486.03,3.41,0.102107857143j,
493.55,3.41,0.100510526316j,
501.19,3.41,0.0990019298246j,
508.94,3.41,0.097498440678j,
516.81,3.41,0.0960043898305j,
524.81,3.41,0.0945382131148j,
532.93,3.41,0.0930939180328j,
541.17,3.41,0.0916783809524j,
549.54,3.41,0.0902735j,
558.04,3.41,0.0888989375j,
566.67,3.41066212121,0.0875512575758j,
575.44,3.411,0.0862040895522j,
584.34,3.411,0.084892358209j,
593.38,3.411,0.0836027826087j,
602.56,3.411,0.0823255652174j,
611.88,3.411,0.0810649014085j,
621.35,3.411,0.0798245070423j,
630.96,3.411,0.0786149863014j,
640.72,3.411,0.0774189459459j,
650.63,3.411,0.0762337297297j,
660.69,3.411,0.0750711447368j,
670.91,3.411,0.0739255769231j,
681.29,3.411,0.0728010769231j,
691.83,3.411,0.0716868875j,
702.53,3.411,0.070587j,
713.4,3.411,0.0695134146341j,
724.44,3.411,0.0684562380952j,
735.64,3.411,0.0674127294118j,
747.02,3.411,0.0663878604651j,
758.58,3.411,0.0653717471264j,
770.31,3.411,0.0643752954545j,
782.23,3.411,0.0633909j,
794.33,3.411,0.0624276521739j,
